Instruction,Type,RV32,RV64,cp_ssstrictv_widening_source_overlap,cp_ssstrictv_all_widening_source_overlap,cp_ssstrictv_vext2_overlapping_vd_vs2,cp_ssstrictv_vext4_overlapping_vd_vs2,cp_ssstrictv_vext8_overlapping_vd_vs2,cp_ssstrictv_vwiden_overlapping_vd_vs1_lmul1,cp_ssstrictv_vwiden_overlapping_vd_vs2_lmul1,cp_ssstrictv_vwidenw_overlapping_vd_vs1_lmul1,cp_ssstrictv_vnarrow_overlapping_vd_vs2,cp_ssstrictv_widening_vd_emul_16,cp_ssstrictv_narrowing_vs2_emul_16,cp_ssstrictv_widening_vd_sew_eq_elen,cp_ssstrictv_narrowing_vs2_sew_eq_elen,cp_ssstrictv_vrgather_vd_vs1_eq,cp_ssstrictv_vrgather_vd_vs2_eq,cp_ssstrictv_vrgatherei16_emul_16,cp_ssstrictv_vrgatherei16_emul_f16,cp_ssstrictv_masking_vd_eq_v0,cp_ssstrict_ls_nf_eew_emul8,cp_ssstrict_ls_nf_eew_emul4,cp_ssstrict_ls_nf_eew_emul2,cp_ssstrictv_masking_vd_eq_v0_lmulgt1,cp_ssstrictv_ls_seg_vd_overflow,cp_ssstrictv_ls_seg_idx_vd_vs2_overlap,cp_ssstrictv_ls_wr_nf_not_pow2,cp_ssstrictv_ls_wr_nreg2_vd_unaligned,cp_ssstrictv_ls_wr_nreg4_vd_unaligned,cp_ssstrictv_ls_wr_nreg8_vd_unaligned,cp_ssstrictv_vfp_frm_reserved,cp_ssstrictv_vfp_eew_unsupported,cp_ssstrictv_vzext_src_reserved,cp_ssstrictv_vadc_vsbc_vm1_reserved,cp_ssstrictv_vadc_vsbc_vd_v0_reserved,cp_ssstrictv_vmv_vs2_not_v0_reserved,cp_ssstrictv_vfp_widen_eew_unsupported,cp_ssstrictv_vfmv_vs2_not_v0_reserved,cp_ssstrictv_mask_logical_vm0_reserved,cp_ssstrictv_vid_vs2_not_v0_reserved,cp_ssstrictv_vmv_xs_sx_vm0_reserved,cp_ssstrictv_vfmv_fs_sf_vm0_reserved,cp_ssstrictv_vslideup_vd_vs2_overlap,cp_ssstrictv_vrgather_vd_vs2_overlap,cp_ssstrictv_vrgather_vd_vs1_overlap,cp_ssstrictv_vcompress_vd_vs2_overlap,cp_ssstrictv_vcompress_vd_v0_overlap,cp_ssstrictv_vmvnr_simm_reserved,cp_ssstrictv_vmv2r_reg_align,cp_ssstrictv_vmv4r_reg_align,cp_ssstrictv_vmv8r_reg_align,cp_ssstrictv_vcsr_reserved_bits,cp_ssstrictv_masking_vd_v0_overlap,cp_ssstrictv_lmulgt1_off_group,cp_ssstrictv_ls_eew_2x_elen,cp_ssstrictv_ls_emul_16,cp_ssstrictv_ls_emul_f16,cp_ssstrictv_ls_emul_nfields_16,cp_ssstrictv_vslide1up_vd_vs2_overlap,cp_ssstrictv_vcompress_vstart_nonzero,cp_ssstrictv_vcompress_vstart_report_zero,cp_ssstrictv_vmv2r_off_group,cp_ssstrictv_vmv4r_off_group,cp_ssstrictv_vmv8r_off_group,cp_ssstrictv_ls_seg_idx_vd_vs2_grp_overlap,cp_ssstrictv_reserved_vcsrs,cp_ssstrictv_vsetvli_reserved_vsew,cp_ssstrictv_vsetvli_lmul_sew_ratio,cp_ssstrictv_ls_eew_lt_sewmin,cp_ssstrictv_ls_mew_reserved,cp_ssstrictv_vzext_vf2_reserved,cp_ssstrictv_vzext_vf4_reserved,cp_ssstrictv_vzext_vf8_reserved,cp_ssstrictv_vcompress_vm0_reserved,cp_ssstrictv_vsext_src_reserved,cp_ssstrictv_ext_emul_lt1_overlap,cp_ssstrictv_widen_max_sew,cp_ssstrictv_vsetvli_x0_x0_reserved,cp_ssstrictv_vsetvl_x0_x0_reserved,cp_ssstrictv_ls_seg_vd_overflow_emulgt1,cp_ssstrictv_vlmul_100_reserved,cp_ssstrictv_ls_idx_emul_gt8,cp_ssstrictv_ls_idx_emul_lt_f8,cp_vtype_walking1s,cp_exceptionsv_vd_vs2_overlap,cp_exceptionsv_vd_vs1_overlap,cp_exceptionsv_vd_v0_overlap_mask_active,cp_ssstrictv_vstart_ge_vlmax
vfwadd.vf,VVFM,x,x,,,,,,,x,,,x,,x,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwadd.vv,VVVM,x,x,,,,,,x,x,,,x,,x,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwadd.wf,VVFM,x,x,,,,,,,,,,x,,x,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwadd.wv,VVVM,x,x,x,,,,,,,x,,x,,x,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwcvt.f.f.v,VVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vfwcvt.f.x.v,VVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vfwcvt.f.xu.v,VVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vfwcvt.rtz.x.f.v,VVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vfwcvt.rtz.xu.f.v,VVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vfwcvt.x.f.v,VVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vfwcvt.xu.f.v,VVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vfwmacc.vf,VFVM,x,x,,,,,,,x,,,x,,x,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwmacc.vv,VVVMR,x,x,,,,,,x,x,,,x,,x,,,,,,,,,,,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwmsac.vf,VFVM,x,x,,,,,,,x,,,x,,x,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwmsac.vv,VVVMR,x,x,,,,,,x,x,,,x,,x,,,,,,,,,,,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwmul.vf,VVFM,x,x,,,,,,,x,,,x,,x,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwmul.vv,VVVM,x,x,,,,,,x,x,,,x,,x,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwnmacc.vf,VFVM,x,x,,,,,,,x,,,x,,x,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwnmacc.vv,VVVMR,x,x,,,,,,x,x,,,x,,x,,,,,,,,,,,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwnmsac.vf,VFVM,x,x,,,,,,,x,,,x,,x,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwnmsac.vv,VVVMR,x,x,,,,,,x,x,,,x,,x,,,,,,,,,,,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwredosum.vs,VVVM,x,x,,,,,,,,,,,,x,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwredusum.vs,VVVM,x,x,,,,,,,,,,,,x,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwsub.vf,VVFM,x,x,,,,,,,x,,,x,,x,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwsub.vv,VVVM,x,x,,,,,,x,x,,,x,,x,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwsub.wf,VVFM,x,x,,,,,,,,,,x,,x,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vfwsub.wv,VVVM,x,x,x,,,,,,,x,,x,,x,,,,,,x,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
vid.v,VM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
viota.m,VVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x
vl1re16.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vl1re32.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vl1re64.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vl1re8.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vl2re16.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vl2re32.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vl2re64.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vl2re8.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vl4re16.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vl4re32.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vl4re64.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vl4re8.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vl8re16.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vl8re32.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vl8re64.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vl8re8.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
vle16.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x
vle16ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x
vle32.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x
vle32ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x
vle64.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x
vle64ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x
vle8.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x
vle8ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x
vlm.v,VX,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x
vloxei16.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,x,x,,,,,x
vloxei32.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,x,x,,,,,x
vloxei64.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,x,x,,,,,x
vloxei8.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,x,x,,,,,x
vloxseg2ei16.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg2ei32.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg2ei64.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg2ei8.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg3ei16.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg3ei32.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg3ei64.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg3ei8.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg4ei16.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg4ei32.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg4ei64.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg4ei8.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg5ei16.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg5ei32.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg5ei64.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg5ei8.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg6ei16.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg6ei32.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg6ei64.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg6ei8.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg7ei16.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg7ei32.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg7ei64.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg7ei8.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg8ei16.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg8ei32.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg8ei64.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vloxseg8ei8.v,VXVM,x,x,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlse16.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x
vlse32.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x
vlse64.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x
vlse8.v,VXXM,x,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x
vlseg2e16.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg2e16ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg2e32.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg2e32ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg2e64.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg2e64ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg2e8.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg2e8ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg3e16.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg3e16ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg3e32.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg3e32ff.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
vlseg3e64.v,VXM,x,x,,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x
